Participant ID,AA,CG,EC,AP,AK,NH,IG,EF
BNC01,37.5,43.75,37.5,37.5,37.5,37.5,37.5,37.5
BNC02,100,100,100,100,100,100,100,100
BNC03,75,75,75,75,75,75,75,75
BNC04,81.25,81.25,81.25,87.5,81.25,81.25,81.25,81.25
BNC05,93.75,93.75,93.75,93.75,93.75,100,93.75,93.75
BNC07,68.75,68.75,68.75,68.75,68.75,68.75,68.75,68.75
BNC08,56.25,56.25,56.25,56.25,52.5,56.25,56.25,56.25
BNC09,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
BNC11,93.75,93.75,93.75,93.75,93.75,93.75,87.5,93.75
BNC12,100,100,100,100,100,100,100,100
BNC23,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5
BNC26,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25
BNC27,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5
BNC28,12.5,12.5,12.5,12.5,62.5,12.5,12.5,62.5
BNC29,56.25,56.25,56.25,56.25,56.25,56.25,62.5,56.25
BNC30,100,100,100,100,100,100,100,100
BNC31,56.25,62.5,62.5,62.5,62.5,62.5,62.5,62.5
BNC32,50,50,50,50,50,50,50,50
BNC33,87.5,93.75,87.5,87.5,87.5,93.75,87.5,87.5
BNC34,75,75,75,75,75,81.25,75,75
BNC35,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25
BNC36,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25
BNC37,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75
BNC50,93.75,,,,93.75,,,93.75
BNC51,93.75,,,,93.75,,,93.75
BNC52,93.75,,,,93.75,,,93.75